Num,Timestamp,Current_J0,Temperature_T0,Current_J1,Temperature_J1,Current_J2,Temperature_J2,Current_J3,Temperature_J3,Current_J4,Temperature_J4,Current_J5,Temperature_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost
1,2022-10-26 08:17:21.847000+00:00,0.109627604,27.875,-2.024668694,29.375,-1.531441569,29.375,-0.998570204,32.125,-0.062539838,32.25,-0.152622119,32.0,0.295565099,-0.000489755,0.001310194,-0.132835567,-0.007478529,-0.152962238,0.082731843,1,False,0
2,2022-10-26 08:17:22.852000+00:00,0.595605195,27.875,-2.27845645,29.3125,-0.866556406,29.4375,-0.206096932,32.1875,-1.06276238,32.25,-0.260763854,32.0,-7.389999999999999e-30,-0.00030365,0.002185137,0.001668227,-0.000766827,0.000416902,0.505894959,1,False,0
3,2022-10-26 08:17:23.857000+00:00,-0.229473799,27.875,-2.800408363,29.3125,-2.304336071,29.4375,-0.351499498,32.125,-0.668869019,32.3125,0.039071277,32.0625,0.136938602,0.007794622,-2.535874128,0.379866958,0.000454562,-0.496855855,0.07942003,1,False,0
4,2022-10-26 08:17:24.863000+00:00,0.06505318,27.875,-3.687767744,29.3125,-1.21765244,29.4375,-1.209114671,32.125,-0.819755077,32.25,0.153902933,32.0,-0.090300322,-0.004911367,-0.009096014,-0.384196132,0.018410839,0.425559103,0.083325386,1,False,0
5,2022-10-26 08:17:25.877000+00:00,0.884140253,27.875,-2.938830376,29.375,-1.794076204,29.4375,-2.356471062,32.1875,-0.96642673,32.3125,0.178997666,32.0,0.126808792,0.005566942,0.001138345,-0.353284031,0.014993799,0.18098861,0.086378753,1,False,0
6,2022-10-26 08:17:26.885000+00:00,0.118960559,27.8125,-2.162541866,29.375,-1.211779475,29.4375,-0.481833845,32.1875,0.015318191,32.3125,0.064844459,32.0625,-4.63951e-05,9.2657e-05,0.000262411,0.002170784,0.000264707,-0.002470161,0.188309669,1,False,0
7,2022-10-26 08:17:27.901000+00:00,0.086137913,27.875,-1.757647038,29.375,-0.960633755,29.4375,-0.488379955,32.1875,0.00650573,32.3125,0.053249341,32.0625,0.0,0.0,0.0,0.0,0.0,1.12e-44,0.085191846,1,False,0
8,2022-10-26 08:17:28.903000+00:00,0.075656995,27.875,-1.836464763,29.375,-0.961322427,29.4375,-0.512540758,32.1875,-0.021844519,32.3125,0.039228443,32.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.087058365,1,False,0
9,2022-10-26 08:17:29.905000+00:00,-0.186848357,27.875,-2.563738346,29.375,-1.41893363,29.4375,-0.262015104,32.1875,0.099941939,32.3125,-0.173527032,32.0625,-0.16600357,0.002408654,-0.015482589,0.350063205,-0.009985541,-0.192710176,0.085785329,1,False,0
10,2022-10-26 08:17:30.909000+00:00,-0.158912256,27.875,-1.750777364,29.375,-1.979400396,29.4375,-0.184549928,32.1875,0.079157062,32.3125,-0.209540769,32.0625,0.09832304,0.004995751,-0.016995683,0.496241122,-0.017352754,-0.588686049,0.085019588,1,False,0
11,2022-10-26 08:17:31.909000+00:00,1.014086485,27.875,-1.875295758,29.375,-0.549352586,29.4375,-0.782304287,32.1875,-0.159290284,32.3125,-0.095323637,32.125,0.002559032,-0.006559099,2.59407115,-0.579771042,0.0,0.642610073,0.078826606,1,False,0
12,2022-10-26 08:17:32.924000+00:00,-0.401867747,27.875,-3.17460227,29.375,-1.05097723,29.5,-0.396679282,32.1875,-0.11407128,32.3125,0.209455431,32.0625,-0.238060281,-0.030145016,-0.032799389,0.232323542,0.064145789,0.014985809,0.093337595,1,False,0
13,2022-10-26 08:17:33.929000+00:00,-0.888249159,27.875,-1.724174142,29.375,-1.741692662,29.5,-0.098951668,32.1875,0.279280871,32.375,0.043639053,32.0625,0.102189675,0.145653635,-2.524552107,0.39329347,0.0,-0.48844412,0.082645774,1,False,0
14,2022-10-26 08:17:34.936000+00:00,-0.048897684,27.875,-2.023628235,29.4375,-1.574188352,29.4375,-0.459635258,32.25,0.092369713,32.375,0.031410072,32.125,0.0,0.0,-0.000265061,5.33e-21,-4.2300000000000004e-32,0.0,0.083153129,1,False,0
15,2022-10-26 08:17:35.950000+00:00,0.29831332,27.875,-1.755526423,29.375,-0.7300179,29.5,-0.839851499,32.25,-0.14594093,32.375,0.184525415,32.125,0.181756839,-0.036899101,0.031121889,-0.401681662,0.016014617,0.208911523,0.086972296,1,False,0
16,2022-10-26 08:17:36.954000+00:00,-0.09025079,27.875,-1.675213575,29.375,-0.791187882,29.5,-0.696012139,32.1875,-0.124836758,32.375,-0.020653341,32.125,0.0,0.0,0.0,0.0,0.0,5.77903e-05,0.087651789,1,False,0
17,2022-10-26 08:17:37.954000+00:00,-0.056929067,27.875,-1.606936216,29.4375,-0.76741755,29.4375,-0.652659655,32.25,-0.172906369,32.4375,0.025237355,32.125,0.0,0.001760988,0.0,-0.001520608,0.0,0.0,0.172946811,1,False,0
18,2022-10-26 08:17:38.964000+00:00,-0.075597793,27.875,-4.540940285,29.4375,-3.577167034,29.5,-1.124296904,32.25,0.008149552,32.375,-0.140795201,32.125,-0.294959307,-0.007419315,-0.061291628,0.963651299,-0.035222989,-0.707988858,0.086464942,1,False,0
19,2022-10-26 08:17:39.964000+00:00,0.565559924,27.875,-2.892706394,29.4375,-0.898230553,29.5,-0.578501046,32.25,0.877194166,32.375,-0.013681808,32.125,0.001012215,0.007126607,2.577790737,-0.536637425,7.46452e-05,0.665149808,0.08391881,1,False,0
20,2022-10-26 08:17:40.967000+00:00,-0.177748024,27.9375,-2.960666418,29.4375,-1.937539816,29.5,-0.132591009,32.25,0.25059396,32.4375,0.220356837,32.125,-0.021950385,0.009480188,0.007680151,0.084171377,0.042810623,-0.109235197,0.083239198,1,True,0
21,2022-10-26 08:17:41.975000+00:00,-0.161906525,27.875,-1.922201633,29.4375,-1.399891615,29.5,-0.58286339,32.25,-0.00042339,32.4375,0.143993318,32.125,0.0,0.0,4.62663e-05,0.0,0.0,0.0,0.08391881,1,True,0
22,2022-10-26 08:17:42.989000+00:00,-0.132234693,27.875,-2.056552649,29.4375,-1.353301167,29.5,-0.586860657,32.25,-0.040784765,32.375,0.110979378,32.125,-1.3999999999999999e-45,3.87e-11,0.0,0.0,0.0,0.0,0.096649468,1,True,0
23,2022-10-26 08:17:43.990000+00:00,-0.133344352,27.875,-2.102524281,29.4375,-1.334905028,29.5,-0.570557654,32.25,-0.02340227,32.375,0.075675115,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.085105717,1,True,0
24,2022-10-26 08:17:45.005000+00:00,-0.132977769,27.9375,-2.095831156,29.4375,-1.336277723,29.5,-0.573531747,32.25,-0.036635224,32.4375,0.094716981,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.090877593,1,True,0
25,2022-10-26 08:17:46.006000+00:00,-0.148091957,27.9375,-2.084821224,29.4375,-1.333779573,29.5,-0.569730163,32.25,-0.023177352,32.4375,0.062156081,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.08756572,1,False,0
26,2022-10-26 08:17:47.011000+00:00,-0.133972049,27.9375,-2.086429596,29.4375,-1.346167684,29.5,-0.576570392,32.3125,-0.042287633,32.4375,0.063506186,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.08391881,1,False,0
27,2022-10-26 08:17:48.015000+00:00,-0.132555455,27.9375,-2.088286877,29.5,-1.329862356,29.5,-0.579483449,32.3125,-0.053200327,32.4375,0.098579057,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.082645774,1,False,0
28,2022-10-26 08:17:49.021000+00:00,-0.137325734,27.9375,-2.080029249,29.4375,-1.334814668,29.5,-0.573686004,32.3125,-0.029885208,32.5,0.075388983,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.084512293,1,False,0
29,2022-10-26 08:17:50.024000+00:00,-0.143478304,27.9375,-2.074727297,29.5,-1.333998919,29.5,-0.562747836,32.3125,-0.016251948,32.4375,0.073945418,32.1875,0.0,0.0,0.0,2.83169e-06,0.0,0.0,0.086464942,1,False,0
30,2022-10-26 08:17:51.027000+00:00,-0.138683781,27.9375,-2.07731986,29.5,-1.332489014,29.5,-0.524802208,32.25,-0.002355589,32.4375,0.081914745,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.086378753,1,False,0
31,2022-10-26 08:17:52.031000+00:00,-0.094429769,27.9375,-1.931086779,29.5,-1.403644562,29.5625,-0.544737816,32.3125,0.081193686,32.5,0.046730973,32.25,2.2e-41,0.00143676,1.1399999999999999e-24,0.001332814,-6.48843e-05,-0.000498806,0.082645774,1,True,0
32,2022-10-26 08:17:53.036000+00:00,-0.06434983,27.9375,-1.829729795,29.4375,-1.466468573,29.5625,-0.505961359,32.3125,0.055908099,32.5,0.162888259,32.25,0.0,0.0,0.0,0.0,1.6e-21,0.0,0.088331401,1,True,0
33,2022-10-26 08:17:54.050000+00:00,-0.083761998,27.9375,-1.955184221,29.5,-1.455390573,29.5625,-0.513757706,32.3125,0.068874836,32.5,0.118648723,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.091557205,1,True,0
34,2022-10-26 08:17:55.055000+00:00,-0.069268376,27.9375,-2.006875992,29.5,-1.437144995,29.5625,-0.510059178,32.3125,0.038701039,32.5,0.090821356,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.087824106,1,False,0
35,2022-10-26 08:17:56.057000+00:00,0.116047807,27.9375,-1.641060829,29.5,-0.927237153,29.5625,-0.853869796,32.3125,0.115647718,32.5,-0.202345103,32.25,0.041566979,0.00069745,0.000501225,-0.096928164,-0.017163316,0.055344913,0.089604497,1,False,0
